model_variant,dataset_id_col,n_common_datasets,n_rows_for_model,acc_mean_mean,acc_mean_std,auroc_mean_mean,auroc_mean_std,aupr_mean_mean,aupr_mean_std
dnabert2_pretrained,task_id,18,18,0.8905391083823311,0.04586017544972852,0.957813498046663,0.026602830153951894,0.9584985269440546,0.02577116789190872
dnabert2_random,task_id,18,18,0.783440699842241,0.08548191652567708,0.8722540305720435,0.07543274534492395,0.8725671701961094,0.07909098888800326
dnabert2_tapt,task_id,18,18,0.8848748736911349,0.058363444102685284,0.9587786548667485,0.027193807190297962,0.9593402094311185,0.02596858571596034
dnabert2_tapt_v3,task_id,18,18,0.890892000993093,0.047956090460754115,0.9587140321731569,0.02584306250983057,0.9594668951299455,0.024797874762236247
