model_variant,dataset_id_col,n_common_datasets,n_rows_for_model,acc_mean_mean,acc_mean_std,auroc_mean_mean,auroc_mean_std,aupr_mean_mean,aupr_mean_std
dnabert2_pretrained,task_id,55,55,0.7412052521922371,0.07848664155027035,0.8533925318717958,0.06280317248819962,0.847444333379919,0.06776815103708383
dnabert2_random,task_id,55,55,0.6620385680415413,0.07660451743980401,0.7507391171021895,0.07923943711883388,0.7505423058163034,0.08666037767077799
dnabert2_tapt,task_id,55,55,0.7627933545546097,0.07336827502473013,0.8682080940766767,0.059871922891788054,0.8628539542718366,0.06694872636330569
dnabert2_tapt_v3,task_id,55,55,0.7536857323213058,0.07979352852714804,0.8618526300516997,0.05987429498231314,0.8558402579480952,0.0665959951697392
dnabert2_tapt_v4_28226,task_id,55,55,0.7563379087231378,0.08020491668942564,0.8660878690806303,0.06099224639277527,0.8610875038667158,0.06955753673114211
dnabert2_tapt_v4_5132,task_id,55,55,0.7548074052550576,0.07495897456871925,0.8626129592548719,0.06326137839636738,0.8580600803548639,0.06867792096633965
one_hot,task_id,55,55,0.8020877291939474,0.07457662966382583,0.884546761512756,0.06267951112424565,0.8825967277180065,0.06531041274388898
